Target Country,Target City,Theater of Operations,Total Weight (Tons),First Mission,Last Mission,Num Missions,location
GERMANY,WEEZE,ETO,33.0,2/21/1945,2/21/1945,6,"WEEZE, GERMANY"
GERMANY,WEHRDEN,ETO,16.0,2/22/1945,2/22/1945,2,"WEHRDEN, GERMANY"
GERMANY,WEHRINGEN,ETO,52.0,2/22/1945,2/22/1945,2,"WEHRINGEN, GERMANY"
GERMANY,WEHRSTAPEL,ETO,16.0,2/22/1945,2/22/1945,2,"WEHRSTAPEL, GERMANY"
GERMANY,WEIDEN,ETO,190.0,4/5/1945,4/5/1945,6,"WEIDEN, GERMANY"
GERMANY,WEIDENAU,ETO,24.0,3/12/1945,7/21/1944,4,"WEIDENAU, GERMANY"
GERMANY,WEIDENSBRUCK,ETO,18.0,3/30/1945,3/30/1945,3,"WEIDENSBRUCK, GERMANY"
GERMANY,WEIL DER STADT,ETO,4.0,9/10/1944,9/10/1944,2,"WEIL DER STADT, GERMANY"
GERMANY,WEILBURG,ETO,129.0,3/17/1945,3/17/1945,6,"WEILBURG, GERMANY"
GERMANY,WEILERSWIST,ETO,3.0,3/1/1945,3/1/1945,3,"WEILERSWIST, GERMANY"
GERMANY,WEIMAR,ETO,3399.0,11/21/1944,8/24/1944,138,"WEIMAR, GERMANY"
GERMANY,WEINHEIM,ETO,17.0,10/12/1941,2/22/1945,3,"WEINHEIM, GERMANY"
GERMANY,WEISBACH,ETO,189.0,12/9/1944,12/9/1944,6,"WEISBACH, GERMANY"
GERMANY,WEISSENHORN,ETO,303.0,9/13/1944,9/13/1944,3,"WEISSENHORN, GERMANY"
GERMANY,WEISWEILER,ETO,180.0,11/18/1944,11/18/1944,3,"WEISWEILER, GERMANY"
GERMANY,WELPOLDING,ETO,20.0,3/19/1945,3/19/1945,1,"WELPOLDING, GERMANY"
GERMANY,WENZENDORF,ETO,1013.0,1/14/1942,7/24/1940,29,"WENZENDORF, GERMANY"
GERMANY,WERL,ETO,783.0,4/19/1944,8/9/1940,22,"WERL, GERMANY"
GERMANY,WERMELSKIRCHEN,ETO,195.0,2/16/1945,3/3/1945,12,"WERMELSKIRCHEN, GERMANY"
GERMANY,WERMINGHOFF,ETO,44.0,1/16/1945,1/16/1945,2,"WERMINGHOFF, GERMANY"
GERMANY,WERNIGERODE,ETO,165.0,2/22/1944,7/7/1944,5,"WERNIGERODE, GERMANY"
GERMANY,WERTHERBRUCH,ETO,6.0,3/24/1945,3/24/1945,6,"WERTHERBRUCH, GERMANY"
GERMANY,WESEL,ETO,5778.0,1/14/1944,9/7/1940,169,"WESEL, GERMANY"
GERMANY,WESERMUENDE,ETO,805.0,1/21/1942,9/17/1940,71,"WESERMUENDE, GERMANY"
GERMANY,WESERMUNDE,ETO,3.0,11/16/1940,9/15/1941,5,"WESERMUNDE, GERMANY"
GERMANY,WESSELING,ETO,2980.0,10/1/1940,9/11/1940,71,"WESSELING, GERMANY"
GERMANY,WESTERHAUSEN,ETO,12.0,6/20/1941,9/12/1944,5,"WESTERHAUSEN, GERMANY"
GERMANY,WESTERHOLT,ETO,803.0,3/22/1945,9/1/1940,32,"WESTERHOLT, GERMANY"
GERMANY,WESTERHWVEN,ETO,8.0,1/15/1942,7/26/1943,5,"WESTERHWVEN, GERMANY"
GERMANY,WESTERLAND,ETO,14.0,10/10/1940,8/3/1940,15,"WESTERLAND, GERMANY"
GERMANY,WESTROVE,ETO,16.0,8/18/1944,8/18/1944,1,"WESTROVE, GERMANY"
GERMANY,WESUWE,ETO,22.0,1/11/1944,1/11/1944,1,"WESUWE, GERMANY"
GERMANY,WETPOLDING,ETO,20.0,3/19/1945,3/19/1945,1,"WETPOLDING, GERMANY"
GERMANY,WETTELDORF,ETO,255.0,1/5/1945,1/5/1945,12,"WETTELDORF, GERMANY"
GERMANY,WETTER,ETO,15.0,1/1/1945,1/1/1945,3,"WETTER, GERMANY"
GERMANY,WETZLAR,ETO,1485.0,1/1/1945,9/22/1944,48,"WETZLAR, GERMANY"
GERMANY,WEYERBUSH,ETO,249.0,3/11/1945,3/25/1945,18,"WEYERBUSH, GERMANY"
GERMANY,WICKRATH,ETO,153.0,2/26/1945,2/26/1945,6,"WICKRATH, GERMANY"
GERMANY,WIEDENBRUCK,ETO,41.0,1/28/1945,3/24/1945,5,"WIEDENBRUCK, GERMANY"
GERMANY,WIESBADEN,ETO,6940.0,1/10/1945,9/8/1944,231,"WIESBADEN, GERMANY"
GERMANY,WIITENBERG,ETO,78.0,1/20/1945,4/20/1945,9,"WIITENBERG, GERMANY"
GERMANY,WILDUNGEN,ETO,60.0,10/2/1944,10/2/1944,2,"WILDUNGEN, GERMANY"
GERMANY,WILHELMSBURG,ETO,11.0,11/16/1940,8/2/1943,12,"WILHELMSBURG, GERMANY"
GERMANY,WILHELMSHAVEN,ETO,18528.0,1/10/1942,9/9/1940,793,"WILHELMSHAVEN, GERMANY"
GERMANY,WILLICH,ETO,154.0,3/13/1945,3/13/1945,4,"WILLICH, GERMANY"
GERMANY,WILSTER,ETO,43.0,6/15/1944,7/16/1941,3,"WILSTER, GERMANY"
GERMANY,WINDEN,ETO,38.0,12/24/1944,12/24/1944,2,"WINDEN, GERMANY"
GERMANY,WINTERHAUSEN,ETO,33.0,2/23/1945,2/23/1945,1,"WINTERHAUSEN, GERMANY"
GERMANY,WINTERSDORF,ETO,60.0,11/30/1944,11/30/1944,2,"WINTERSDORF, GERMANY"
GERMANY,WIPPERFURTH,ETO,6.0,3/22/1945,6/11/1941,6,"WIPPERFURTH, GERMANY"
GERMANY,WISMAR,ETO,1667.0,1/17/1943,9/9/1940,68,"WISMAR, GERMANY"
GERMANY,WISSEN,ETO,333.0,3/11/1945,3/19/1945,14,"WISSEN, GERMANY"
GERMANY,WITTEN,ETO,24.0,1/1/1944,8/7/1941,11,"WITTEN, GERMANY"
GERMANY,WITTENAU,ETO,204.0,3/6/1944,3/6/1944,3,"WITTENAU, GERMANY"
GERMANY,WITTENBERG,ETO,728.0,10/14/1940,6/29/1944,39,"WITTENBERG, GERMANY"
GERMANY,WITTENBURG,ETO,422.0,10/23/1940,9/30/1940,21,"WITTENBURG, GERMANY"
GERMANY,WITTIICH,ETO,453.0,1/8/1945,12/29/1944,21,"WITTIICH, GERMANY"
GERMANY,WITTLICH,ETO,221.0,1/28/1945,11/29/1944,5,"WITTLICH, GERMANY"
GERMANY,WITTMUND,ETO,1249.0,1/5/1945,9/23/1942,66,"WITTMUND, GERMANY"
GERMANY,WITTSTOCK,ETO,80.0,2/22/1945,8/6/1944,7,"WITTSTOCK, GERMANY"
GERMANY,WOLFENBUTTEL,ETO,29.0,10/22/1944,3/15/1944,8,"WOLFENBUTTEL, GERMANY"
GERMANY,WOLFRATSHAUSEN,ETO,828.0,4/9/1945,4/9/1945,28,"WOLFRATSHAUSEN, GERMANY"
GERMANY,WOLFSTEIN,ETO,20.0,2/22/1945,2/22/1945,2,"WOLFSTEIN, GERMANY"
GERMANY,WOLLSEIFEN,ETO,354.0,12/15/1944,12/15/1944,15,"WOLLSEIFEN, GERMANY"
GERMANY,WOLMIRSTEDT,ETO,36.0,6/29/1944,6/29/1944,2,"WOLMIRSTEDT, GERMANY"
GERMANY,WORMS,ETO,2344.0,1/13/1945,9/9/1944,74,"WORMS, GERMANY"
GERMANY,WORRINGEN,ETO,152.0,10/15/1944,3/1/1945,7,"WORRINGEN, GERMANY"
GERMANY,WULFEN,ETO,1164.0,3/11/1945,3/9/1945,57,"WULFEN, GERMANY"
GERMANY,WULFRATH,ETO,173.0,3/8/1945,3/8/1945,11,"WULFRATH, GERMANY"
GERMANY,WUNSDORF,ETO,12.0,10/23/1940,9/1/1940,13,"WUNSDORF, GERMANY"
GERMANY,WUPPERTAL,ETO,4007.0,11/11/1944,9/29/1943,35,"WUPPERTAL, GERMANY"
GERMANY,WURM LAKE,ETO,190.0,6/20/1944,8/30/1944,8,"WURM LAKE, GERMANY"
GERMANY,WURZBURG,ETO,2604.0,2/12/1945,9/5/1940,83,"WURZBURG, GERMANY"
GERMANY,WURZEN,ETO,60.0,10/25/1940,10/7/1944,3,"WURZEN, GERMANY"
GERMANY,WUSTENSACHSEN,ETO,141.0,5/28/1944,5/28/1944,6,"WUSTENSACHSEN, GERMANY"
GERMANY,WUSTERMARK,ETO,184.0,4/20/1945,4/20/1945,4,"WUSTERMARK, GERMANY"
GERMANY,XANTEN,ETO,725.0,10/7/1940,9/30/1944,24,"XANTEN, GERMANY"
GERMANY,ZARNHOFF,ETO,450.0,11/19/1944,11/19/1944,6,"ZARNHOFF, GERMANY"
GERMANY,ZEHDENICK,ETO,83.0,12/5/1944,6/21/1944,7,"ZEHDENICK, GERMANY"
GERMANY,ZEITZ,ETO,5637.0,1/16/1945,8/17/1940,155,"ZEITZ, GERMANY"
GERMANY,ZELL,ETO,113.0,12/27/1944,8/5/1941,14,"ZELL, GERMANY"
GERMANY,ZELLERFELD,ETO,212.0,10/7/1944,10/7/1944,8,"ZELLERFELD, GERMANY"
GERMANY,ZELLHAUSEN,ETO,468.0,12/24/1944,12/24/1944,30,"ZELLHAUSEN, GERMANY"
GERMANY,ZELTINGEN,ETO,3.0,2/16/1945,2/16/1945,3,"ZELTINGEN, GERMANY"
GERMANY,ZERBST,ETO,1416.0,4/10/1945,4/16/1945,39,"ZERBST, GERMANY"
GERMANY,ZEVEN,ETO,11.0,4/17/1942,8/2/1943,5,"ZEVEN, GERMANY"
GERMANY,ZIEGENHAIN,ETO,1002.0,3/24/1945,3/24/1945,21,"ZIEGENHAIN, GERMANY"
GERMANY,ZIEVERICH,ETO,122.0,2/26/1945,2/26/1945,4,"ZIEVERICH, GERMANY"
GERMANY,ZINNOWITZ,ETO,279.0,7/18/1944,7/18/1944,9,"ZINNOWITZ, GERMANY"
GERMANY,ZOSSEN,ETO,4002.0,3/15/1945,3/15/1945,129,"ZOSSEN, GERMANY"
GERMANY,ZSCHORNEWITZ,ETO,12.0,12/21/1940,8/19/1940,4,"ZSCHORNEWITZ, GERMANY"
GERMANY,ZULPICH,ETO,694.0,12/23/1944,7/7/1941,42,"ZULPICH, GERMANY"
GERMANY,ZUNDBERG (ZUNDORF),ETO,54.0,1/11/1944,1/11/1944,3,"ZUNDBERG (ZUNDORF), GERMANY"
GERMANY,ZWEIBRUCKEN,ETO,1398.0,1/3/1945,9/7/1940,40,"ZWEIBRUCKEN, GERMANY"
GERMANY,ZWICKAU,ETO,3947.0,10/7/1944,5/28/1944,102,"ZWICKAU, GERMANY"
GERMANY,ZWIESEL,ETO,107.0,12/16/1944,4/20/1945,4,"ZWIESEL, GERMANY"
GERMANY,ZWISCHENAHN,ETO,1848.0,3/21/1945,5/30/1944,30,"ZWISCHENAHN, GERMANY"
GILBERT ISLANDS,APAMAMA,PTO,4.5,5/26/1943,5/26/1943,1,"APAMAMA, GILBERT ISLANDS"
GILBERT ISLANDS,BETIO ISLAND,PTO,8.0,11/19/1943,11/19/1943,1,"BETIO ISLAND, GILBERT ISLANDS"
GILBERT ISLANDS,MAKIN ISLAND,PTO,8.0,11/14/1943,7/11/1943,2,"MAKIN ISLAND, GILBERT ISLANDS"
GILBERT ISLANDS,NANUTI,PTO,0.75,6/21/1943,6/21/1943,1,"NANUTI, GILBERT ISLANDS"
GILBERT ISLANDS,NAURU,PTO,28.7,4/20/1943,6/28/1943,3,"NAURU, GILBERT ISLANDS"
GILBERT ISLANDS,TARAWA,PTO,214.23,1/26/1943,9/19/1943,30,"TARAWA, GILBERT ISLANDS"
GREAT BRITAIN,ARAD,ETO,0.0,8/12/1940,8/12/1940,1,"ARAD, GREAT BRITAIN"
GREAT BRITAIN,BREMEN,ETO,42.0,11/26/1943,11/26/1943,2,"BREMEN, GREAT BRITAIN"
GREAT BRITAIN,DUISBURG,ETO,2.0,8/27/1944,8/27/1944,1,"DUISBURG, GREAT BRITAIN"
GREAT BRITAIN,DUSSELDORF,ETO,82.0,8/31/1942,8/31/1942,1,"DUSSELDORF, GREAT BRITAIN"
GREAT BRITAIN,ESSEN,ETO,173.0,9/1/1942,9/1/1942,1,"ESSEN, GREAT BRITAIN"
GREAT BRITAIN,MAINZ,ETO,1.0,8/11/1942,8/11/1942,1,"MAINZ, GREAT BRITAIN"
GREAT BRITAIN,MANNHEIM,ETO,0.0,8/6/1941,8/6/1941,1,"MANNHEIM, GREAT BRITAIN"
GREAT BRITAIN,MINDEN,ETO,1.0,8/14/1941,8/14/1941,1,"MINDEN, GREAT BRITAIN"
GREAT BRITAIN,MUNCHEN GLADBACH,ETO,198.0,9/9/1944,9/9/1944,1,"MUNCHEN GLADBACH, GREAT BRITAIN"
GREAT BRITAIN,MUNSTER,ETO,1.0,9/19/1940,9/19/1940,1,"MUNSTER, GREAT BRITAIN"
