Country,City,Total Tons,First Mission,Last Mission,Num Missions,location
FRANCE,GATTEVILLE,122.0,6/6/1944,6/6/1944,2,"GATTEVILLE, France"
FRANCE,GENNEVILLIERS,1154.0,4/29/1942,9/29/1942,41,"GENNEVILLIERS, France"
FRANCE,GIEN,273.0,7/17/1944,7/6/1944,8,"GIEN, France"
FRANCE,GIRONDE RIVER,62.0,12/31/1943,12/31/1943,1,"GIRONDE RIVER, France"
FRANCE,GIVERVILLE,88.0,7/18/1944,7/18/1944,4,"GIVERVILLE, France"
FRANCE,GIVET,5.0,6/28/1944,7/31/1941,3,"GIVET, France"
FRANCE,GIVORS,1478.0,5/25/1944,8/6/1944,9,"GIVORS, France"
FRANCE,GLACIERE LA,1146.0,4/20/1944,5/8/1944,36,"GLACIERE LA, France"
FRANCE,GLENNES,22.0,2/26/1945,2/26/1945,2,"GLENNES, France"
FRANCE,GONDRECOURT,16.0,7/6/1944,7/6/1944,2,"GONDRECOURT, France"
FRANCE,GORENFLOS,1303.0,1/14/1944,6/25/1944,32,"GORENFLOS, France"
FRANCE,GOSNAY,28.0,11/8/1941,9/21/1941,10,"GOSNAY, France"
FRANCE,GOURNAY,216.0,8/2/1944,8/8/1944,9,"GOURNAY, France"
FRANCE,GRAND QUEVILLY,9.0,9/18/1941,9/20/1941,2,"GRAND QUEVILLY, France"
FRANCE,GRANVILLE,652.0,6/12/1944,7/8/1944,18,"GRANVILLE, France"
FRANCE,GRAVELINES,1322.0,10/16/1940,9/10/1941,46,"GRAVELINES, France"
FRANCE,GRENOBLE,239.0,5/26/1944,8/16/1944,3,"GRENOBLE, France"
FRANCE,GRIMONE,720.0,1/23/1944,6/23/1944,26,"GRIMONE, France"
FRANCE,GRIS NEZ,19.0,12/20/1940,8/19/1940,2,"GRIS NEZ, France"
FRANCE,GRISBECQ,597.0,6/5/1944,6/5/1944,2,"GRISBECQ, France"
FRANCE,GROSLEY,170.0,7/23/1944,7/28/1944,6,"GROSLEY, France"
FRANCE,GUESCHART,600.0,1/14/1944,12/24/1943,9,"GUESCHART, France"
FRANCE,GUINES,8.0,1/10/1941,9/6/1940,13,"GUINES, France"
FRANCE,GUYANCOURT,519.0,6/15/1944,6/17/1944,15,"GUYANCOURT, France"
FRANCE,GUYENCOURT,336.0,6/22/1944,6/22/1944,7,"GUYENCOURT, France"
FRANCE,HAGENAU,1080.0,11/17/1944,8/14/1944,46,"HAGENAU, France"
FRANCE,HAM,175.0,6/14/1944,8/28/1944,7,"HAM, France"
FRANCE,HANTAY,63.0,7/6/1944,7/6/1944,3,"HANTAY, France"
FRANCE,HARDELOT,1683.0,4/27/1944,9/19/1944,64,"HARDELOT, France"
FRANCE,HARKINGKELLES,252.0,6/2/1944,8/22/1940,4,"HARKINGKELLES, France"
FRANCE,HARNES,90.0,8/3/1944,8/3/1944,2,"HARNES, France"
FRANCE,HAUT MAISNIL,395.0,7/17/1944,8/8/1944,13,"HAUT MAISNIL, France"
FRANCE,HAUTECOTE,207.0,6/20/1944,6/20/1944,3,"HAUTECOTE, France"
FRANCE,HAZEBROUCK,793.0,3/19/1944,9/4/1943,31,"HAZEBROUCK, France"
FRANCE,HEBECREVON,1713.0,7/25/1944,7/25/1944,19,"HEBECREVON, France"
FRANCE,HELICOURT,64.0,7/11/1944,8/3/1944,4,"HELICOURT, France"
FRANCE,HENINLITTARD,176.0,8/25/1944,8/25/1944,12,"HENINLITTARD, France"
FRANCE,HERBOUVILLE,179.0,1/27/1944,2/28/1944,7,"HERBOUVILLE, France"
FRANCE,HERMANVILLE,303.0,6/1/1944,6/2/1944,9,"HERMANVILLE, France"
FRANCE,HESDIN,855.0,1/24/1944,9/2/1943,16,"HESDIN, France"
FRANCE,HEUDEIRE,288.0,4/27/1944,5/7/1944,6,"HEUDEIRE, France"
FRANCE,HEURINGHEM,603.0,1/21/1944,4/22/1944,15,"HEURINGHEM, France"
FRANCE,HIRSON,896.0,3/25/1944,3/6/1944,16,"HIRSON, France"
FRANCE,HOLQUE,60.0,6/24/1944,6/25/1944,2,"HOLQUE, France"
FRANCE,HONFLEUR,6.0,10/22/1941,10/22/1941,2,"HONFLEUR, France"
FRANCE,HOUDAN,28.0,8/7/1944,8/7/1944,2,"HOUDAN, France"
FRANCE,HOULGATE,879.0,6/20/1944,7/5/1944,13,"HOULGATE, France"
FRANCE,HOUPPEVILLE,168.0,7/17/1944,8/2/1944,6,"HOUPPEVILLE, France"
FRANCE,HULL LOUPOLN,11.0,6/29/1944,6/29/1944,1,"HULL LOUPOLN, France"
FRANCE,HUMIERES,273.0,7/6/1944,8/3/1944,15,"HUMIERES, France"
FRANCE,I DE PONQUEROLLES,141.0,8/12/1944,8/12/1944,6,"I DE PONQUEROLLES, France"
FRANCE,ILE DE CEZEMBRE,1125.0,8/11/1944,8/7/1944,48,"ILE DE CEZEMBRE, France"
FRANCE,ILE DU LEVANT,162.0,8/11/1944,8/11/1944,3,"ILE DU LEVANT, France"
FRANCE,ILE RATENNEAU,1029.0,8/24/1944,8/27/1944,33,"ILE RATENNEAU, France"
